State_Abbr,State,Medicaid_Expanded,Total_Financial_Assistance_Apps_Submitted,Medicaid_Indiv_Elig_Applied,CHIP_Indiv_Elig_Applied,Total Medicaid and CHIP Determinations,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
OK,Oklahoma,N,40322.0,40111.0,7751.0,47862.0,731009,42.1497,-74.9384,609442,121567,Apr,2019
UT,Utah,N,21506.0,37728.0,0.0,37728.0,308788,44.2853,-99.4632,266822,41966,Apr,2019
AR,Arkansas,Y,21996.0,9452.0,407.0,9859.0,855122,34.9513,-92.3809,765254,89868,Apr,2019
SD,South Dakota,N,2488.0,1396.0,0.0,1396.0,110889,18.2766,-66.335,95114,15775,Apr,2019
MD,Maryland,Y,92564.0,29860.0,2840.0,32700.0,1320216,42.2373,-71.5314,1165454,154762,Apr,2019
GA,Georgia,N,43982.0,25886.0,934.0,26820.0,1837180,27.8333,-81.717,1624790,212390,Apr,2019
ID,Idaho,N,7827.0,6179.0,465.0,6644.0,272589,42.0046,-93.214,246377,26212,Apr,2019
IA,Iowa,Y,15262.0,1363.0,0.0,1363.0,694247,21.1098,-157.5311,620698,73549,Apr,2019
WA,Washington,Y,143021.0,102344.0,1714.0,104058.0,1715989,40.1135,-111.8535,1650284,65705,Apr,2019
AZ,Arizona,Y,101454.0,0.0,0.0,0.0,1702739,14.2417,-170.7197,1599598,103141,Apr,2019
NC,North Carolina,N,20461.0,30979.0,3326.0,34305.0,1747084,32.7673,-89.6812,1482290,264794,Apr,2019
ND,North Dakota,Y,2456.0,2429.0,56.0,2485.0,90593,46.9048,-110.3261,88472,2121,Apr,2019
WV,West Virginia,Y,22021.0,12440.0,707.0,13147.0,516872,18.0001,-64.8199,483689,33183,Apr,2019
KS,Kansas,N,0.0,0.0,0.0,0.0,371638,39.8647,-86.2604,316462,55176,Apr,2019
NY,New York,Y,762419.0,116785.0,8261.0,125046.0,6536865,34.8375,-106.2371,5878039,658826,Apr,2019
NH,New Hampshire,Y,8551.0,5057.0,522.0,5579.0,180751,47.5362,-99.79299999999999,165822,14929,Apr,2019
MN,Minnesota,Y,26372.0,19544.0,61.0,19605.0,1050235,43.3504,-84.5603,1048979,1256,Apr,2019
NE,Nebraska,N,6081.0,5799.0,857.0,6656.0,247318,35.6411,-79.8431,213039,34279,Apr,2019
MN,Minnesota,Y,25423.0,18751.0,48.0,18799.0,1047145,43.3504,-84.5603,1045879,1266,May,2019
NV,Nevada,Y,20683.0,12236.0,70.0,12306.0,632772,40.314,-74.5089,590829,41943,May,2019
